"Bacterial.Species","Organism.Name","Body.Site","Animal.Species","Date.and.Time","AMIKAC","AMOCLA","AMOXIC","AMPHOT","AMPICI","ANIDUL","AZITHR","BACITR","CASPOF","CEFAZO","CEFOVE","CEFOXI","CEFPOD","CEFTAZ","CEFTIF","CEPALE","CEPHAL","CHLORA","CHLTET","CIPROF","CLARYT","CLINDA","DANOFL","DAPTOM","DOXYCY","ENROFL","ERYTH","FLORFE","FLUCON","FLUCYT","GENTAM","IMIPEN","ITRACO","KANAMY","LINCOM","LINEZO","MARBOF","MICAFU","MINOCY","MOXIFL","NEOMYC","NITRO","NOVOBI","OFLOXA","ORBIFL","OXACIL","OXYTET","PENICI","PIPTAZ","POLYB","POSACO","PRADOF","RIFAMP","SDIMET","SPECT","STREPT","SULTHI","SYNERC","TETRA","TIAMUL","TICARC","TICCLA","TIGECY","TILMIC","TOBRAM","TRISUL","TULATH","TYLO","VANCOM","VORICO"
"S.PSE","Staphylococcus pseudintermediu    ","LEG","CAN","8/29/2014 16:05","<=       4","<=    0.12",NA,NA,"<=    0.12",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       1",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","EAR","CAN","10/3/2007 12:37","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=       2",NA," =     0.5",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," >       8",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","EAR","CAN","10/2/2007 16:25","<=       4","<=       4",NA,NA," =     0.5",NA,NA,NA,NA,"<=       2",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=       2",NA," =       2",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,"<=       1",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EAR","CAN","9/7/2013 13:06","<=       4","<=    0.12",NA,NA," =    0.25",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       1",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","ANAS","CAN","7/12/2018 10:34","<=       4","0.5",NA,NA,">       8",NA,NA,NA,NA,"<=       1",">       8",NA,"8","16",NA,"16",NA,"8",NA,NA,NA,NA,NA,NA,"8",">       4",NA,NA,NA,NA,"4","<=       1",NA,NA,NA,NA,">       4",NA,NA,NA,NA,NA,NA,NA,">       8",NA,NA,NA,"<=       8",NA,NA,"2",NA,NA,NA,NA,NA,NA,">      16",NA,NA,NA,NA,NA,NA,">       4",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","ANAS","CAN","10/30/2009 16:44","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       4","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,NA,"<=       4",NA,NA,NA," >       4",NA,NA,"<=       2"," =       1"," >       4",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA," =       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =    0.25",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","SEM","CAN","7/21/2017 13:38","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2"," =    0.12",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA," >     0.5"," =       1","<=    0.25",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA," =       2",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA," =    0.12",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA," >       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.INT","Staphylococcus intermedius    ","SKI","CAN","10/30/2009 12:04","<=       4","<=       4",NA,NA,NA,NA,NA,NA,NA,"<=       4","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,NA,"<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,"<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","WOUS","CAN","9/29/2007 16:15","<=       4","<=       4",NA,NA," =       4",NA,NA,NA,NA,"<=       2",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=       2",NA," =       8",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," =       2",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","WOUS","CAN","2/10/2010 12:28","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," =       4",NA,NA," =       8"," =       2"," =       4",NA,NA,NA," =       8",NA,NA,NA,NA,NA," =       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","JF","CAN","8/29/2014 13:05","<=       4","<=    0.12",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       8"," =       1","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA," =       1",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,"<=       8",NA,NA,NA," =       1",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","CORN","CAN","11/5/2010 9:27","<=      32",NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      16",NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       4",NA,NA,NA,"<=       8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       8",NA,NA,NA,NA,NA,"<=       8",NA,NA," >       5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      64",NA,NA,NA,"<=       8",NA,NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","URI","CAN","9/18/2012 9:16",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =    0.06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","FLABD","CAN","2/5/2014 14:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," >       4",NA,NA," =       8"," =     0.5"," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," =     0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","BONE","CAN","7/25/2017 13:13",NA," =       2",NA,NA," >       8",NA,NA,NA,NA,"<=       2"," >       8",NA," >       8",NA,NA,NA,"<=       2","<=       8",NA,NA,NA," >       4",NA,NA," >     0.5"," >       4"," >       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA," >       4",NA," >       2",NA,NA,"<=      16",NA,NA,NA," =       2",NA," >       8",NA,NA,NA," =       2","<=       1",NA,NA,NA,NA,NA," >       1",NA,NA,NA,NA,NA,NA," >       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","ASPN","CAN","7/21/2017 13:55","<=      16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >      32",NA,NA,NA," >       4",NA,NA," >     0.5"," >       4"," >       4",NA,NA,NA," =       8",NA,NA,NA,NA,NA," >       4",NA," >       2",NA,NA,"<=      16",NA,NA,NA,NA,NA,NA,NA,NA,NA," =       2","<=       1",NA,NA,NA,NA,NA," >       1",NA,NA,NA,NA,NA,NA," >       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","INTER","CAN","9/18/2012 12:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >      16",NA,NA,NA," >       4",NA,NA," =       8"," >       2"," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EYE","CAN","9/19/2012 9:20","<=      32",NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      16",NA," >       2",NA,NA,NA,NA,NA,NA," >       4",NA,NA,NA,"<=       8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       8",NA,NA,NA,NA,NA,"<=       8",NA,NA," >       5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      64",NA,NA,NA,"<=       8",NA,NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","7/10/2019 12:26","<=      16","<=    0.25",NA,NA,"0.5",NA,NA,NA,NA,"<=       2","0.5",NA,"<=       2",NA,NA,NA,"<=       2",">      32",NA,NA,NA,">       4",NA,NA,">     0.5","<=    0.25",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"0.5",NA,"1",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.INT","Staphylococcus intermedius    ","ABS","CAN","11/4/2010 12:24","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       4","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,NA,"<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       4","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","7/27/2016 14:28","<=       4","<=    0.12",NA,NA,"<=    0.12",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","7/10/2019 12:25","<=      16","1",NA,NA,">       8",NA,NA,NA,NA,"<=       2",">       8",NA,">       8",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"8","<=       1",NA,NA,NA,NA,">       4",NA,"2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","9/6/2013 14:12",NA,"<=    0.12",NA,NA," =    0.25",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA," >       4",NA,NA," =       4"," >       2"," >       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       8",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EAR","CAN","7/28/2016 16:51","<=       4","<=    0.12",NA,NA,"<=    0.12",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","9/7/2013 13:11","<=       4","<=    0.12",NA,NA," =    0.25",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","VAG","CAN","7/18/2018 15:43","<=      16","<=    0.25",NA,NA,"2",NA,NA,NA,NA,"<=       2","1",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5","<=    0.25",">       4",NA,NA,NA,"<=       4","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"0.5",NA,"4",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.INT","Staphylococcus intermedius    ","SKI","CAN","10/2/2008 16:53","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       8",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25",NA,"<=    0.06",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," >       8",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","SKI","CAN","10/30/2009 16:45","<=       4","<=       4",NA,NA," =     0.5",NA,NA,NA,NA,"<=       4","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,NA,"<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       8","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =       2",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","VAG","CAN","11/2/2009 7:58","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       8",NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," >       4",NA,NA,"<=       2"," >       2"," >       4",NA,NA,NA," =       8",NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","VAG","CAN","7/17/2020 11:53","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2","0.25",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,"<=     0.5",NA,NA,"<=    0.12","<=    0.25","<=    0.25",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,"<=       1",NA,"<=     0.5",NA,NA,"<=      16",NA,NA,NA,"<=    0.25",NA,"1",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","PERG","CAN","7/18/2020 12:52","<=      16","1",NA,NA,">       8",NA,NA,NA,NA,"<=       2",">       8",NA,"8",NA,NA,NA,"<=       2","16",NA,NA,NA,">       4",NA,NA,">     0.5","1",">       4",NA,NA,NA,">      16","<=       1",NA,NA,NA,NA,"<=       1",NA,">       2",NA,NA,"<=      16",NA,NA,NA,">       2",NA,">       8",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermedius","URB","CAN","7/17/2020 9:56",NA,"<=       2",NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EYE","CAN","7/22/2017 10:00","<=      16",NA,NA,NA,NA,NA,NA," >       4",NA,"<=       8",NA,NA,NA,NA,"<=       2",NA,NA,"<=       4",NA,"<=       1",NA,NA,NA,NA," >       2",NA,"<=     0.5",NA,NA,NA,"<=       2",NA,NA,NA,NA,NA,NA,NA,NA,"<=     0.5","<=       4",NA,NA," =     0.5",NA,NA," >       4",NA,NA," =      10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=      16",NA,NA,NA,"<=       4"," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","EAR","CAN","7/22/2017 12:06","<=      16","<=    0.25",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       2"," =       2",NA,"<=       2",NA,NA,NA,"<=       2"," >      32",NA,NA,NA,NA,NA,NA," >     0.5","<=    0.25",NA,NA,NA,NA," =       8","<=       1",NA,NA,NA,NA,"<=       1",NA," >       2",NA,NA,"<=      16",NA,NA,NA," =       1",NA,"<=    0.06",NA,NA,NA,"<=    0.25","<=       1",NA,NA,NA,NA,NA," >       1",NA,NA,NA,NA,NA,NA,"<=       2",NA,NA,"<=       1",NA
"S.INT","Staphylococcus intermedius    ","ABS","CAN","10/4/2008 13:02","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       8",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA," =     0.5",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25",NA," =     0.5",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," >       8",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermedius","SKI","CAN","7/11/2019 16:01","<=      16","0.5",NA,NA,"8",NA,NA,NA,NA,"<=       2","1",NA,"<=       2",NA,NA,NA,"<=       2","<=       8",NA,NA,NA,">       4",NA,NA,">     0.5",">       4",">       4",NA,NA,NA,"16","<=       1",NA,NA,NA,NA,">       4",NA,">       2",NA,NA,"<=      16",NA,NA,NA,"1",NA,">       8",NA,NA,NA,"2","<=       1",NA,NA,NA,NA,NA,">       1",NA,NA,NA,NA,NA,NA,">       4",NA,NA,"<=       1",NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","11/4/2011 17:23","<=       4","<=    0.12",NA,NA,"<=    0.12",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA,"<=    0.06",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","HARD","CAN","2/8/2012 15:48","<=       4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," >       4",NA,NA," =       8"," >       2"," >       4",NA,NA,NA," =       4",NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","CORN","CAN","9/19/2012 12:36","<=       4","<=    0.12",NA,NA,"<=    0.12",NA,NA,NA,NA,"<=       1","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,"<=       2","<=       4",NA,NA,NA,"<=     0.5",NA,NA,"<=       2","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA,"<=    0.25",NA," =    0.25",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","SKI","CAN","10/4/2007 12:47","<=       4","<=       4",NA,NA," =     0.5",NA,NA,NA,NA,"<=       2",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,"<=    0.25",NA,NA,NA,"<=     0.5","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=       2",NA," =       4",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,"<=       1",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.PSE","Staphylococcus pseudintermediu    ","SKI","CAN","9/7/2013 13:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," =       8",NA,NA,NA," >       4",NA,NA,"<=       2"," >       2"," >       4",NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," >       2",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","EAR","CAN","10/3/2008 16:20","<=       4","<=       4",NA,NA,"<=    0.25",NA,NA,NA,NA,"<=       8",NA,"<=       2","<=       2",NA,"<=    0.25",NA,"<=       2"," >      16",NA,NA,NA," >       1",NA,NA,NA,"<=     0.5"," >       4",NA,NA,NA," =       4","<=       1",NA,NA,NA,NA," =     0.5",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25",NA," =       1",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," >       8",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","WOUS","CAN","10/3/2008 17:16","<=       4","<=       4",NA,NA," =       1",NA,NA,NA,NA,"<=       8",NA,"<=       2"," =       4",NA,"<=    0.25",NA,"<=       2"," =       8",NA,NA,NA,NA,NA,NA,NA,"<=     0.5",NA,NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA," =     0.5",NA,NA,NA,NA,NA,NA,NA,"<=       1","<=    0.25",NA," >       8",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA," >       8",NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
"S.INT","Staphylococcus intermedius    ","EPD","CAN","10/30/2009 12:03","<=       4","<=       4",NA,NA," =       1",NA,NA,NA,NA,"<=       4","<=    0.25","<=       2","<=       2",NA,"<=    0.25",NA,NA,"<=       4",NA,NA,NA,"<=     0.5",NA,NA," =       8","<=    0.25","<=     0.5",NA,NA,NA,"<=       1","<=       1",NA,NA,NA,NA,"<=    0.25",NA,NA,NA,NA,NA,NA,NA,NA," =     0.5",NA," =       8",NA,NA,NA,NA,"<=       1",NA,NA,NA,NA,NA,NA,NA,"<=       8","<=       8",NA,NA,NA,"<=     0.5",NA,NA,NA,NA
